story_id,person,type,aliases,sentence_id,text,mention_count,word_count,text_prev,text_next,bert_context,is_primary_in_sentence,is_dialogue,count_lexicon,is_subject,is_object,subject_sentences_stem
170,Person-2,antagonist,['giant'],4,he asked when the Man from Orizava had finished a story of an aboriginal giant discovered in the wilds of Brazil,3,132.0,Did you ever hear o the Lang Men o Larut,There was never story yet passed the lips of teller but the Man from Orizava could cap it,Did you ever hear o the Lang Men o Larut [SEP] he asked when the Man from Orizava had finished a story of an aboriginal giant discovered in the wilds of Brazil [SEP] There was never story yet passed the lips of teller but the Man from Orizava could cap it,0,0,0.0,0,0,ask man orizava finish stori aborigin giant discov wild brazil
170,Person-2,antagonist,['giant'],28,Lammitter was the first by two inches a giant in the land an a terreefic man to cross in his ways,3,132.0,Wait while I remember,From heel to head he was six feet nine inches and proportionately built across and through the thickness of his body,Wait while I remember [SEP] Lammitter was the first by two inches a giant in the land an a terreefic man to cross in his ways [SEP] From heel to head he was six feet nine inches and proportionately built across and through the thickness of his body,1,0,0.0,0,0,lammitt first two inch giant land terreef man cross way
170,Person-2,antagonist,['giant'],39,The Malays ran round them as though they had been the giant trees in the Yosemite Valley these three Lang Men o Larut,3,132.0,When the three walked out together they made a scunner run through the colony o Larut,It was perfectly ridiculous a lusus naturae that one little place should have contained maybe the three tallest ordinar men upon the face o the earth,When the three walked out together they made a scunner run through the colony o Larut [SEP] The Malays ran round them as though they had been the giant trees in the Yosemite Valley these three Lang Men o Larut [SEP] It was perfectly ridiculous a lusus naturae that one little place should have contained maybe the three tallest ordinar men upon the face o the earth,1,0,0.0,0,0,malay ran round though giant tree yosemit valley three lang men larut
170,Person-2,antagonist,['giant'],68,Boys giants side-show giants I minded to slide out of my bet if I had been overtopped on the strength of the riddle on this paste-board,3,132.0,Esdras B Longer is my name America is my nation Frisco is my resting-place but this here beats Creation said he,I would have done it if you had topped me even by three inches but when it comes to feet yards miles I am not the man to shirk the biggest drink that ever made the travellers joy palm blush with virginal indignation or the orang outang and the perambulating dyak howl with envy,Esdras B Longer is my name America is my nation Frisco is my resting-place but this here beats Creation said he [SEP] Boys giants side-show giants I minded to slide out of my bet if I had been overtopped on the strength of the riddle on this paste-board [SEP] I would have done it if you had topped me even by three inches but when it comes to feet yards miles I am not the man to shirk the biggest drink that ever made the travellers joy palm blush with virginal indignation or the orang outang and the perambulating dyak howl with envy,0,0,0.0,0,0,boy giant side show giant mind slide bet overtop strength riddl past board
170,Person-2,antagonist,['giant'],71,O mon I tell you twas an awful sight to see those four giants threshing about the house and the island and tearin down the pillars thereof an throwing palm-trees broadcast and currling their long legs round the hills o Larut,3,132.0,Set them up and continue till the final conclusion,An awfu sight,Set them up and continue till the final conclusion [SEP] O mon I tell you twas an awful sight to see those four giants threshing about the house and the island and tearin down the pillars thereof an throwing palm-trees broadcast and currling their long legs round the hills o Larut [SEP] An awfu sight,0,0,-1.6,0,0,mon tell twa aw sight see four giant thresh hous island tearin pillar thereof throw palm tree broadcast currl long leg round hill larut
169,Person-3,antagonist,['thief'],4,He is a thief by instinct a murderer by heredity and training and frankly and bestially immoral by all three,4,84.0,To the Afghan neither life property law nor kingship are sacred when his own lusts prompt him to rebel,the less he has his own crooked notions of honour and his character is fascinating to study,To the Afghan neither life property law nor kingship are sacred when his own lusts prompt him to rebel [SEP] He is a thief by instinct a murderer by heredity and training and frankly and bestially immoral by all three [SEP] the less he has his own crooked notions of honour and his character is fascinating to study,1,0,0.0,0,0,thief instinct murder hered train frankli bestial immor three
169,Person-3,antagonist,['thief'],48,He said to me who am now the King You are a thief,4,84.0,I brought it to a money-lender in a bylane and I asked for three rupees upon it,This is worth three hundred,I brought it to a money-lender in a bylane and I asked for three rupees upon it [SEP] He said to me who am now the King You are a thief [SEP] This is worth three hundred,0,0,0.0,0,0,said king thief
169,Person-3,antagonist,['thief'],50,I am no thief I answered but a prince of good blood and I am hungry,4,84.0,This is worth three hundred,Prince of wandering beggars said that money-lender I have no money with me but go to my house with my clerk and he will give you two rupees eight annas for that is all I will lend,This is worth three hundred [SEP] I am no thief I answered but a prince of good blood and I am hungry [SEP] Prince of wandering beggars said that money-lender I have no money with me but go to my house with my clerk and he will give you two rupees eight annas for that is all I will lend,1,0,0.6,0,0,thief answer princ good blood hungri
169,Person-3,antagonist,['thief'],61,So they led the thief away and the whole of him was seen no more together and the Court rustled out of its silence whispering Before God and the Prophet but this is a man,4,84.0,There was a pause and the Amir cried hoarsely to the prisoner throwing scorn upon him till he ended with the dread Dar arid which clinches justice,,There was a pause and the Amir cried hoarsely to the prisoner throwing scorn upon him till he ended with the dread Dar arid which clinches justice [SEP] So they led the thief away and the whole of him was seen no more together and the Court rustled out of its silence whispering Before God and the Prophet but this is a man [SEP],1,0,0.0,0,1,led thief away whole seen togeth court rustl silenc whisper god prophet man
169,Person-12,antagonist,['wolf'],7,Herein he is as unaccountable as the gray wolf who is his blood-brother,1,13.0,On occasion he will fight without reason given till he is hacked in pieces on other occasions he will refuse to show fight till he is driven into a corner,And these men His Highness rules by the only weapon that they understand the fear of death which among some Orientals is the beginning of wisdom,On occasion he will fight without reason given till he is hacked in pieces on other occasions he will refuse to show fight till he is driven into a corner [SEP] Herein he is as unaccountable as the gray wolf who is his blood-brother [SEP] And these men His Highness rules by the only weapon that they understand the fear of death which among some Orientals is the beginning of wisdom,1,0,-0.2,0,0,herein unaccount gray wolf blood brother
