storyID,judul,sentenceID,sentence,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation,liberty,oppression
1,The Fable of the Man Who Didn't Care for Storybooks,1,"Once there was a blue Dyspeptic, who attempted to Kill Time by reading Novels, until he discovered that all Books of Fiction were a Mockery.",0,1,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,2,After a prolonged Experience he came to know that every Specimen of Light Reading belonged to one of the following Divisions:,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,3,"The Book that Promises well until you reach the Plot, and then you Remember that you read it Summer before last.",0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,4,2. The book with the Author's Picture as a Frontispiece.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,5,The Author is very Cocky.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,6,"He has his Overcoat thrown back, so as to reveal the Silk Lining.",0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,7,That Settles it!,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,8,3. The Book that runs into a Snarl of Dialect on the third Page and never gets out.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,9,"4. The delectable Yarn about a Door-Mat Thief, who truly loves the Opium Fiend.",1,1,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,10,Jolly Story of the Slums.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,11,"5. The Book that begins with a twenty-page Description of Sloppy Weather: ""Long swirls of riven Rain beat somberly upon the misty Panes,"" etc.,",0,1,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,12,etc.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,13,You turn to the last Chapter to see if it Rains all the way through the Book.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,14,This last Chapter is a Give-Away.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,15,It condenses the whole Plot and dishes up the Conclusion.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,16,"After that, who would have the Nerve to wade through the Two Hundred and Forty intermediate Pages?",0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,17,6. The Book in which the Pictures tell the Story.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,18,After you have seen the Pictures there is no need to wrestle with the Text.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,19,7. The Book that begins with a Murder Mystery—charming Picture of Gray-Haired Man discovered Dead in his Library—Blood splashed all over the Furniture—Knife of Curious Design lying on Floor.,0,1,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,20,"You know at once that the most Respected and least suspected Personage in the Book committed the awful Crime, but you haven't the Heart to Track him down and compel him to commit Suicide.",0,0,0,0,0,0,1,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,21,"8. The Book that gets away with one Man asking another: ""By Jove, who is that Dazzling Beauty in the Box?""",0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,22,The Man who asks this Question has a Name which sounds like the Title of a Sleeping Car.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,23,You feel instinctively that he is going to be all Mixed Up with that Girl in the Box before Chapter XII.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,24,is reached; but who can take any real Interest in the Love Affairs of a Man with such a Name?,1,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,25,9. The Book that tells all about Society and how Tough it is.,0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,26,"Even the Women drink Brandy and Soda, smoke Cigarettes, and Gamble.",0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,27,"The clever Man of the World, who says all the Killing Things, is almost as Funny as Ally Sloper.",0,1,0,0,1,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,28,"An irritable Person, after reading nine Chapters of this kind of High Life, would be ready to go Home and throw his Grandmother into the Fire.",1,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,29,"10. The dull, gray Book, or the Simple Annals of John Gardensass.",0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,30,A Careful Study of American Life.,1,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,31,"In Chapter I. he walks along the Lane, stepping first on one Foot and then on the Other, enters a House by the Door, and sits in a four-legged wooden Chair, looking out through a Window with Glass in it.",0,0,0,0,0,0,0,0,0,0,0,0
1,The Fable of the Man Who Didn't Care for Storybooks,32,Book denotes careful Observation.,1,0,0,0,0,0,0,0,0,0,0,0
