storyID,story,sentenceID,sentence,kepedulian,menyakiti,keadilan,kecurangan,loyalitas,pengkhianatan,otoritas,pembangkangan,kesucian,kemerosotan,kebebasan,penindasan,kepedulian_prob,menyakiti_prob,keadilan_prob,kecurangan_prob,loyalitas_prob,pengkhianatan_prob,otoritas_prob,pembangkangan_prob,kesucian_prob,kemerosotan_prob,kebebasan_prob,penindasan_prob,positive_label_count,max_confidence
1,Legenda Danau Toba,19,"Aku sangat berhutang budi padamu karena telah menyelamatkanku dari kutukan Dewata,” kata gadis itu.",1,0,0,0,0,0,0,0,0,0,0,0,0.9895877838134766,4.291518416721374e-05,0.0001697213447187096,3.598177499952726e-05,0.00010989815200446174,9.914761903928593e-05,0.0014408798888325691,5.8035901020048186e-05,0.006599886808544397,0.0005650758394040167,0.00020599896379280835,0.00047109488514252007,1,0.9895877838134766
1,Legenda Danau Toba,49,"Memang kata orang, kesabaran itu ada batasnya.",0,0,0,0,0,0,0,0,1,0,0,0,0.00015044571773614734,5.02498478454072e-05,0.00016092821897473186,3.966793155996129e-05,0.00010807933722389862,9.855660027824342e-05,0.0008302747737616301,5.674550266121514e-05,0.9935299754142761,7.986515265656635e-05,0.00020803300139959902,0.0004863993381150067,1,0.9935299754142761
1,Legenda Danau Toba,59,"Dasar anak ikan !,” umpat si Petani tanpa sadar telah mengucapkan kata pantangan itu.",0,0,0,0,0,0,1,0,0,0,0,0,0.00013975900947116315,4.5714139560004696e-05,0.00016428505477961153,3.611474676290527e-05,0.00010668960749171674,9.234686149284244e-05,0.998166024684906,5.683187919203192e-05,0.019923821091651917,0.0006345102447085083,0.0002050546172540635,0.00047227018512785435,1,0.998166024684906
2,Puteri Hijau,15,Dan siasatnya itu berhasil.,0,0,0,0,0,0,1,0,0,0,0,0,0.00015492858074139804,4.6727709559490904e-05,0.00015909018111415207,3.9187190850498155e-05,0.0001100097069866024,9.562431660015136e-05,0.9907594919204712,5.665990829584189e-05,0.0011259329039603472,8.20771892904304e-05,0.0002100682759191841,0.00046886567724868655,1,0.9907594919204712
3,Batu Gantung Danau Toba,12,"Ternyata, hati Seruni sedang galau karena ia akan dijodohkan dengan laki-laki pilihan orang tuanya.",0,0,0,0,0,0,1,0,0,0,0,0,0.00012960427557118237,4.691604044637643e-05,0.0001620020775590092,3.542739796102978e-05,0.00012967422662768513,9.663411765359342e-05,0.943402111530304,5.827170025440864e-05,0.00024018627300392836,7.978538633324206e-05,0.0002151921798940748,0.00046105554793030024,1,0.943402111530304
3,Batu Gantung Danau Toba,15,Seruni dan kekasihnya telah sama-sama mengucapkan janji untuk membawa hubungan mereka ke jenjang pernikahan.,0,0,0,0,0,0,1,0,0,0,0,0,0.00013918621698394418,4.709790664492175e-05,0.0001799440651666373,3.624039891292341e-05,0.00017300175386480987,9.594657603884116e-05,0.9934536218643188,6.086015491746366e-05,0.0010491301072761416,8.241696195909753e-05,0.00022086332319304347,0.00047876551980152726,1,0.9934536218643188
3,Batu Gantung Danau Toba,52,ucap sang istri.,0,0,0,0,0,0,0,0,0,1,0,0,0.0001866579259512946,5.691681508324109e-05,0.00015920553414616734,4.807499499293044e-05,0.00012159127072663978,0.0001049649144988507,0.0003352829662617296,5.7094250223599374e-05,0.0005123140290379524,0.9904904365539551,0.00020847897394560277,0.00047859412734396756,1,0.9904904365539551
3,Batu Gantung Danau Toba,64,Laki-laki ini hendak masuk kedalam lubang demi menyelamatkan anaknya.,1,0,0,0,0,0,0,0,0,0,0,0,0.9716477394104004,4.997659198124893e-05,0.00016754245734773576,3.721114990185015e-05,0.00011228794028284028,9.35288262553513e-05,0.00017721291806083173,6.301327812252566e-05,0.00012784362479578704,8.536318637197837e-05,0.00021054892567917705,0.00045671279076486826,1,0.9716477394104004
4,Sampuraga Si Anak Durhaka,8,"Kalau boleh aku sarankan, kamu sebaiknya pergi ke negeri yang penduduknya hidup makmur dan sangat subur” .",0,0,0,0,0,0,1,0,0,0,0,0,0.00014206997002474964,4.2034822399728e-05,0.05609216168522835,3.766721783904359e-05,0.00012343858543317765,9.276486525777727e-05,0.9991511106491089,5.816544216941111e-05,0.0004446100501809269,8.936534868553281e-05,0.00021340719831641763,0.00047306541819125414,1,0.9991511106491089
4,Sampuraga Si Anak Durhaka,50,hamba bersedia menikah dengan puteri Tuan” .Jawabnya.,0,0,0,0,0,0,0,0,1,0,0,0,0.0001407493546139449,5.4558047850150615e-05,0.0001659278350416571,3.90298810089007e-05,0.0001165849098470062,9.18129226192832e-05,0.0006222097435966134,6.253307219594717e-05,0.996911346912384,8.359315688721836e-05,0.00021903797460254282,0.0004747470375150442,1,0.996911346912384
