source_text,sentenceID,sentence,asih,nyakitang,kaadilan,kacurangan,setya,ngianat,wewenang,ngalawan tatanan,kasucian,kakotoran,kabebasan,panindasan
I Belog Magandong,20, Sawireh keto nyeleati Pan Sari tur sirep duur pundukane,0,1,0,0,0,0,0,0,0,0,0,0
I Belog,10, Disubane maan meli bebek lantas I Belog mulih,0,0,0,0,0,0,1,0,0,0,0,0
Galuh Pitu,50, Lenan teken ento I Raksasa liu masih ngubuh celeng siap bebek kedis miwah ane lianan,1,0,0,0,0,0,0,0,0,0,0,0
I Tuung Kuning,3, Ia ngelah kurungan simalune tuwah dadua jani sekate pepesan menang ia matajen ngeliunang dogen kurungane,0,0,0,0,0,0,0,0,0,0,0,0
I Empas tekén I Angsa,22, Beli Empas ajak Beli muah Embok Angsa Awinan masan panese makelo pesan tur tuara taen ujan ento awinan yeh tlagane ngangsan nyat,0,1,0,0,0,0,0,0,0,0,0,0
Sang Aji Dharma,28, Mara keto jeg prajani saja rabinne lemet tur seda,0,1,0,0,0,0,0,0,0,0,0,0
Ni Diah Tantri,11, Dening asapunika kenginan kapireng antuk ida Sang Prabu Aiswaryadala raris ida mapakayun pacing nglamar Ni Diah Tantri pacing kajumenengang pramiswari,0,0,0,0,0,0,1,0,0,0,0,0
Semut perang tanding,59, Nanging yen Dewan wakene tusing arsa makejang dewan caine tusing ada artine I Semut Api miwah I Sidem salah tampi ningehang munyine I Semangah,0,0,0,0,0,0,0,0,0,0,0,0
Pan Angklung Gadang,10, Ngandika Ida Anake Agung Dong iba Angklung Gadang nguda sih iba belog pesan,0,1,0,0,0,0,0,0,0,0,0,0
Getap (satua),47, Wanene ento masih makada i raga berhasil,0,0,0,0,0,0,1,0,0,0,0,0
I Jaran Nayanin Macan,19, Suba cager pesan kenehne lakar ngamah panak Jarane ane kaliwat jaen tur nyanggluh,0,0,0,0,0,0,0,0,0,0,0,1
I Belog Magandong,1,Dugase malu ada kone anak muani madan I Belog ia makantenan ngajak Pan Sari,0,0,0,0,0,0,0,0,0,0,0,0
Bintang Lara,49, Tan cerita di jalan teked ia di bingine dadi tuun ujane bales tur peteng dedet,0,0,0,0,0,0,0,0,0,0,0,0
I Bojog tekén I Kedis Sangsiah,18, Ne Iba sanget ngajumang dewek ulihan marasa ririh ngae sebun kanti ngardi gegoak i manusa kadaut idepae,0,0,0,0,0,0,0,1,0,0,0,0
Maya Danawa,6,"Lantas, Panjake wantah subakti ring linggih Sang Prabu Maya Danawa sakadi punika kahanane.",0,0,0,0,0,0,0,1,0,0,0,0
I Botol tekén Sang Samong,57, Kasuen-suen lantas ia mati baana tuara taen ngamah apan-apan,0,1,0,0,0,0,0,0,0,0,0,0
Buduh ring Ula Aya,9, Sakemaon rikanjekan punika nembe ngantos surup Ida Sang Hyang Bhatara Dipati wawu ipun malipetan uli bete samaliha nenten makta bebaktan saang sekadi sane sampun-sampun,0,0,0,1,0,0,0,0,0,0,0,0
Bintang Lara,127, Tan cerita suba neked di puri katurang lantas teken Ida Anake Agung Inggih Ratu Dewa Anak Agung puniki lelipi,0,0,0,0,0,0,0,0,0,0,0,0
Sampik Ingtai,18, Ngawit punika raris I Babah Sampik sayan rumaket pasawitrannyane tur ngawiwitin nresnain Ni Nyonyah Ingtai,1,0,0,0,1,0,0,0,0,0,0,0
I Belog Dadi Mantu,7, Nglantur buin I Belog memunyi Ne jani rahinan Tilem rencangan Ida Betara kabeh tumedun mapaica waranugraha,0,0,0,1,0,0,0,1,0,1,0,0
Pan Poleng,9, Nengked kanginan been nepukin anak ngbe meyong been lantas Pan Poleng ngomong kal kija ngba meyong mesa­ut lantas anake ento Bakal kutang tiang Baang je tiang meli meyonge ento mesaut anake totonan de je beline meyong tiange ngidih baang tiang idihe lantas meyonge ento tekening Pan Poleng pejanga jumahan sokasine,0,0,0,0,0,0,0,0,0,0,0,0
Belibis Putih,14, Ditu ia nepukin parangan gede,0,0,0,0,0,0,0,0,0,0,0,0
I Lutung Maborbor,41, Ngenggalang ia ngokoh tanah di sisin semere ento marupa gook,0,0,0,0,0,0,0,0,0,0,0,0
Kambing Takutin Macan,19, Sambilanga Ni Mesaba ngengkotang tandukne tur mekecos,0,0,0,0,0,0,0,0,0,0,0,0
Sang Nandaka muah Prabu Singa Kapisuna,16, I Sambada ngenggalang nyumbah lantas matur,0,0,0,0,0,0,0,0,0,0,0,0
I Kidang,59, Gelisin satua suba kone panumaya limang dinane teka,0,0,0,0,0,0,0,0,0,0,0,0
Bé Bano,9, Di subane pada suud ngosong jukung I Nyoman Jater upahina be bano aukud,0,0,1,0,0,0,0,0,0,0,0,0
I Basang Siap,25, Nuju pianak titiange seduk panggihin titiang wenten katipat baa duur ring langgatane nyaratang titiang pacang ngambil saking tuduhing Hyang raris titiang ulung malih dados manusa sakadi mangkin,0,0,0,0,0,0,0,0,0,0,1,0
I Belog Kadéna Jaruh,87, dandanin ja icang ngliwatin tukad to yeh di tukade blabar sing dadi baan icang nuwuk,0,1,0,0,0,0,0,0,0,0,0,0
Pan Poleng,78, Been lantas ngomong I gadagan meyong de matiange tiang ape ja kesakitanne tiang be kar nulungin mesaut lantas I meyong Nah yen keto awake ngulungang bungkung di tukade kema alih Yan bakat bungkunge ento awake tusing lakar ngematiang cai Alihe lantas bungkunge ento tekening gadagane,0,0,0,0,0,0,0,0,0,0,0,0
I Kékér Tekén I Lutung,66, Tulung,0,1,0,0,0,0,0,0,0,0,0,0
Bojog Jegég,1,Sawatara suba pitung dina makelone Ni Murdani negak mapangenan duur punyan kayune,0,0,0,0,0,0,0,0,0,0,0,0
I Donglen teken Luh Arum,150, Icang suba I Donglen,0,0,0,0,0,0,0,0,0,0,0,0
Angsa tekén Kerkuak,35,"Sasampune punika, Ditu lantas I Kerkuak ajak I Angsa ngintip jeg saja ada cicing gudig ngamah be ked tulangne liu ditu",0,0,0,1,0,1,0,0,0,0,0,1
Pan Poleng,69, Kacerita teked di tengah tukade ngomong lantas I meyong cicing anyud ake cicing mesaut lantas I cicing ngando-ngando anyud apa keto munyin I cicinge,0,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,34, Kenak pesan Ida Raden Galuh sing ja Ida uning teken raga bakal katadah,0,0,0,0,0,1,0,0,0,0,0,0
Bé Jeleg Tresna Telaga,33, Sapuniki pasautne Beli belin icang maka dadua,0,0,0,0,0,0,0,0,0,0,0,0
I Belog Magandong,34, Suba liu eduke mapunduh gulunga laut macelep ia di tengah eduke ane magulung kanti ilid,0,0,0,0,0,0,0,0,0,0,0,0
I Alu tekén I Kedis Puuh,1,Di tegalan ane linggah liu mentik sarwa tumuwuh ada ane mebunga ada masi ane mabuah nged,0,0,0,0,0,0,0,0,0,0,1,0
Jayaprana lan Layonsari,30,"Lantas, Risampune Jayaprana budal Ida Anake Agung mabaos kapining prabekel sareng sinamian nunas pikayun pacang ngekadaya Jayaprana lakar mademang Jayaprana",0,0,0,1,0,1,0,0,0,1,0,1
Timun Mas,61, Nyak ngalih I Ketimun Mas Ia plaibanga baan I Raksasa,0,0,0,0,0,0,0,0,0,0,0,0
I Belog Ngantén Ajak Bangké,18, Pagereng pada menge jumahan meten ngamah benne ento ada ane ngamah jukutne muah ada ane ngekeh nasinne,0,1,0,0,0,0,0,0,0,0,1,0
Lutung tekén Baduda,6, Beduda beh amah-amahan pikir cai kanti beregidig keto apo jo ado keto gen kanggoang mapo yo Lutung Mih patuhang awak cai jak wake yo dugas wake nu di kota nak biaso roti lapis jak stek sampi nawang Beduda Bo yo keto ngujang cai mai kealase Sing dempelang nae awak caine ditu di kota Lutung Yee di kota lamun ado punyan kayu gede miwah liu amah-amahan jaan nyen nawang di alase liu ado punyan kayu gede sing liunang yo ado amah-amahan jaan,0,0,0,0,0,0,0,0,0,0,0,0
Pedanda Baka,12,Sang Cangak makenyem gargita pisan duaning marasa winayannyane suba mapikolih,0,0,0,0,0,0,0,0,1,0,1,0
Yuyu Misi Enjekan Kebo Ditunduné,53, Ditu lantas I Kekua masilur,0,0,0,0,0,0,0,0,0,0,0,0
Macan tekén méng,7, Burone ane lenlenan suba ngangsan tangar kerana suba tawanga I Macan anak dueg,0,0,0,0,0,0,1,0,0,0,0,0
Timun Mas,22, I Ketimun Mas gapgapina laklak atekor,1,0,0,0,1,0,0,0,0,0,0,0
I Belog Kadéna Jaruh,92, Kanti semutan bangkiangne I Belog malebleban di tukade nyau,0,0,0,0,1,0,0,0,0,0,0,0
I Kékér Tekén I Lutung,69, Keto pamuputne I Lutung ane miratdana muponin kacirahane,0,0,1,0,0,0,0,0,0,0,0,0
Rsi Srengga,16,Isinne jagi ngawentenang yadnya ane pacang andel mituasin bobot pikayunan Idane apang prasida ngamijilang putra mautama ring waktu punika.,0,0,0,0,0,0,0,0,1,0,0,0
I Kékér Tekén I Lutung,59, Kalahina I Lutung makeber ban I Keker,0,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,219, Jemakina lantas Raden Galuh togog teken I Rangsasa,0,0,0,0,0,0,0,0,0,0,0,0
Bintang Lara,110,critayang di subane I Bintang Lara budal uli purian malih Anake Agung ngandika teken parekane Parekan-parekan kenken jani baan nayanang I Bintang Lara apang ia mati apang bakatang gelah kurenane sakadi punika kahanane.,0,0,0,1,0,1,0,0,0,0,0,1
Pan Balang Tamak,5, Ento kranane Pan Balang Tamak sengitanga baan desane,0,1,0,0,0,0,0,0,0,1,0,0
Bhagawan Domia,9, Sapunika atur sang sisia tetiga ring Ida Bhagawan Domia,0,0,0,0,0,0,0,0,0,0,0,0
Déwi Kunti Kawéhin Mantra Sakti,14,"Lantas, Manggihin sinar surya ngulangunin pisan metu kayun Dewi Kunti pacang nguncarang mantra sakti paican Rsi Durvasa punika ring genah punika.",0,0,0,0,0,0,0,0,1,0,0,0
I Kepuh Mati Baan Drowaka,22, Onya bebangkene totonan kagantungang di carang-carang kepuhe,0,0,0,0,0,0,0,0,0,1,0,0
I Kepuh Mati Baan Drowaka,53,"Ring semeng punika, I Lelipi Raja tan mari ka desa-desa ngalih tetedan sakadi punika kahanane.",0,0,0,0,0,0,0,0,0,0,0,1
I Clalongan nulungin Semut,3, Nuju dina anu soroh buron di telabahe mapunduh,0,0,0,0,0,0,0,0,0,0,0,0
Timun Mas,32,"Ring semeng punika, Ngomong I Raksasa Ih jero pengangon bebek jalan kema kumahne I Ketimun Mas",0,0,0,1,0,0,0,0,0,0,0,0
Lutung dadi Pecalang,4, Baan kenylne mejalan kemu-mai sedek nyongkok angut-angut naenang kiap I lutung tengkejut ningehang munyin kukul titir tuk tuk tuk tuk tuk sepanan ia bangun kipak-kipek liatne merengang,0,1,0,0,0,0,0,0,0,0,0,0
Jero Ketut,35, Becat sajan bikule ngejuk tur ngmatiang kutu-kutune,0,0,0,0,0,0,0,0,0,0,0,0
Belibis Putih,88,Kanti caratane belah tur Pandita ane siluman seda puun sengeh ring waktu punika.,0,0,1,0,0,0,0,0,0,0,0,0
I Siput lawan I Kancil,12, I Kancil lantas maekin I Siput miwah timpal-timpalne,0,0,0,0,0,0,0,0,0,0,0,0
Bé Jeleg Tresna Telaga,36, Dini masih iraga nepukin pabuktian ane marupa tetedaan,0,0,0,0,0,0,0,0,0,0,0,0
Cicing Alas Ngalih Balian,44, Daya demen nguluk-nguluk tur nyarap beburon tan padosa,0,0,0,1,0,0,0,0,0,0,0,1
Beras Kuning,39, Tur cening tusing engsap ngaturang sembah teken meme,0,0,0,0,1,0,1,0,0,0,0,0
I Tuung Kuning,40, Yan kudang taun makelone I Pudak luas matajen ceritayang jani ia suba mulih pipisne telah kalah tuwing enu nang aketeng,0,0,1,0,0,0,0,0,0,1,0,0
Beras Kuning,64, Bunga-bungane nedeng kembang,0,0,0,0,0,0,0,0,0,0,1,0
Jayaprana lan Layonsari,38, Ipian punika kaceritayang antuk Jayaprana nanging Jayaprana nenten peduli saking ipun santukan nenten bani ten ngring teken perintah Ida Anake Agung,0,0,0,0,1,0,0,0,0,0,0,0
I Kékér Tekén I Lutung,27, I Lutung matakon Kengken idep Ibane Keker Jalan jenek lantas dini nyak Kai demen pesan dini eda suba buin malipetan ka tongose pidan apang Kai mokohan malu bin abedik I Keker nyautin Lutung wake ada perlu abedik buin mani lakar mulih yen Iba kan dini pang wake dogen mulih bin mani nah Iba selegang suba malu dini Mara keto I Keker ngraos sada jejeh kenehne I Lutung lakar kalahina ban I Keker mulih,0,0,0,0,0,0,0,0,0,0,0,0
