tokens,ner_tags,story_id
"['Once' 'there' 'was' 'a' 'blue' 'Dyspeptic' 'who' 'attempted' 'to' 'Kill'
 'Time' 'by' 'reading' 'Novels' 'until' 'he' 'discovered' 'that' 'all'
 'Books' 'of' 'Fiction' 'were' 'a' 'Mockery']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['After' 'a' 'prolonged' 'Experience' 'he' 'came' 'to' 'know' 'that'
 'every' 'Specimen' 'of' 'Light' 'Reading' 'belonged' 'to' 'one' 'of'
 'the' 'following' 'Divisions' '1']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['The' 'Book' 'that' 'Promises' 'well' 'until' 'you' 'reach' 'the' 'Plot'
 'and' 'then' 'you' 'Remember' 'that' 'you' 'read' 'it' 'Summer' 'before'
 'last']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['2' 'The' 'book' 'with' 'the' ""Author's"" 'Picture' 'as' 'a'
 'Frontispiece']",[0 0 0 0 0 0 0 0 0 0],1
['The' 'Author' 'is' 'very' 'Cocky'],[0 0 0 0 0],1
"['He' 'has' 'his' 'Overcoat' 'thrown' 'back' 'so' 'as' 'to' 'reveal' 'the'
 'Silk' 'Lining']",[0 0 0 0 0 0 0 0 0 0 0 0 0],1
['That' 'Settles' 'it'],[0 0 0],1
"['3' 'The' 'Book' 'that' 'runs' 'into' 'a' 'Snarl' 'of' 'Dialect' 'on'
 'the' 'third' 'Page' 'and' 'never' 'gets' 'out']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['4' 'The' 'delectable' 'Yarn' 'about' 'a' 'Door-Mat' 'Thief' 'who'
 'truly' 'loves' 'the' 'Opium' 'Fiend']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0],1
['Jolly' 'Story' 'of' 'the' 'Slums'],[0 0 0 0 0],1
"['5' 'The' 'Book' 'that' 'begins' 'with' 'a' 'twenty-page' 'Description'
 'of' 'Sloppy' 'Weather' 'Long' 'swirls' 'of' 'riven' 'Rain' 'beat'
 'somberly' 'upon' 'the' 'misty' 'Panes' 'etc']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
['etc'],[0],1
"['You' 'turn' 'to' 'the' 'last' 'Chapter' 'to' 'see' 'if' 'it' 'Rains'
 'all' 'the' 'way' 'through' 'the' 'Book']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
['This' 'last' 'Chapter' 'is' 'a' 'Give-Away'],[0 0 0 0 0 0],1
"['It' 'condenses' 'the' 'whole' 'Plot' 'and' 'dishes' 'up' 'the'
 'Conclusion']",[0 0 0 0 0 0 0 0 0 0],1
"['After' 'that' 'who' 'would' 'have' 'the' 'Nerve' 'to' 'wade' 'through'
 'the' 'Two' 'Hundred' 'and' 'Forty' 'intermediate' 'Pages']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
['6' 'The' 'Book' 'in' 'which' 'the' 'Pictures' 'tell' 'the' 'Story'],[0 0 0 0 0 0 0 0 0 0],1
"['After' 'you' 'have' 'seen' 'the' 'Pictures' 'there' 'is' 'no' 'need'
 'to' 'wrestle' 'with' 'the' 'Text']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['7' 'The' 'Book' 'that' 'begins' 'with' 'a' 'Murder' 'Mystery' 'charming'
 'Picture' 'of' 'Gray-Haired' 'Man' 'discovered' 'Dead' 'in' 'his'
 'Library' 'Blood' 'splashed' 'all' 'over' 'the' 'Furniture' 'Knife' 'of'
 'Curious' 'Design' 'lying' 'on' 'Floor']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
